Name,Type,Status
Q1 2024 Email Blast — UK Manufacturers,Other,Planned
Spring Trade Show 2024,Other,Aborted
Summer Logistics Webinar Series,Telemarketing,Aborted
Q2 Cold Chain Outreach,Direct Mail,Planned
National Distribution Forum 2024,Other,Aborted
Autumn Warehousing Campaign,Other,Aborted
Black Friday Logistics Push,Other,In Progress
January 2025 New Year Outreach,Telemarketing,Planned
Q1 2025 Re-engagement Campaign,Other,Completed
Valentine's Retention Drive,Other,Completed
Easter Logistics Promotion,Other,Aborted
Spring 2025 Partner Referral,Other,Aborted
Midlands Manufacturing Roadshow,Email,In Progress
Northern Industrial Summit,Other,Completed
Scottish Logistics Forum,Other,In Progress
Welsh Distribution Expo,Telemarketing,Aborted
Q3 2025 Lead Generation,Other,In Progress
Summer 2025 Customer Retention,Other,Planned
National Procurement Show 2025,Other,Completed
Autumn B2B Conference,Other,Planned
November Customer Appreciation,Other,Aborted
End of Year Upsell Campaign,Direct Mail,Planned
New Customer Welcome Series,Direct Mail,Completed
VIP Account Programme,Other,Planned
Competitor Win-Back Campaign,Other,Aborted
Lapsed Account Reactivation,Other,Aborted
Referral Partner Campaign,Direct Mail,Completed
Industry Association Sponsorship,Telemarketing,In Progress
LinkedIn Thought Leadership,Other,Completed
Podcast Sponsorship Series,Other,Aborted
Google Ads — UK Logistics,Other,Completed
SEO Content Campaign,Other,Aborted
Direct Mail — Construction Sector,Direct Mail,In Progress
Telemarketing — Retail Accounts,Other,Planned
Customer Survey Campaign,Direct Mail,Planned
NPS Recovery Outreach,Other,Completed
Case Study Content Campaign,Other,Planned
Awards Sponsorship 2025,Telemarketing,Aborted
Trade Press Advertising,Other,In Progress
WhatsApp Business Trial,Other,Completed
Q4 Pipeline Acceleration,Other,In Progress
Year-End Forecast Push,Other,Completed
January 2026 Pipeline Opener,Telemarketing,Planned
BETT Expo Presence,Other,In Progress
Spring Manufacturing Webinar,Other,Planned
Industrial Open Day,Other,Completed
Delivery Innovation Summit,Other,Completed
CRM Launch Announcement,Email,Planned
Salesforce Go-Live Customer Comms,Other,Completed
Post-Go-Live NPS Survey,Other,In Progress
Campaign 51,Telemarketing,Aborted
Campaign 52,Other,In Progress
Campaign 53,Other,Aborted
Campaign 54,Other,Planned
Campaign 55,Other,Completed
Campaign 56,Other,Completed
Campaign 57,Email,Planned
Campaign 58,Telemarketing,In Progress
Campaign 59,Other,Completed
Campaign 60,Other,Aborted
Campaign 61,Other,Completed
Campaign 62,Other,Planned
Campaign 64,Telemarketing,In Progress
Campaign 65,Other,Completed
Campaign 66,Other,In Progress
Campaign 67,Other,Aborted
Campaign 68,Other,Aborted
Campaign 69,Telemarketing,Completed
Campaign 70,Direct Mail,Completed
Campaign 71,Direct Mail,Planned
Campaign 72,Other,In Progress
Campaign 73,Telemarketing,Completed
Campaign 74,Email,Planned
Campaign 75,Direct Mail,Aborted
Campaign 76,Other,Completed
Campaign 77,Other,Completed
Campaign 78,Email,Completed
Campaign 79,Other,Planned
Campaign 80,Other,Planned
Campaign 81,Other,Completed
Campaign 82,Direct Mail,Planned
Campaign 83,Other,In Progress
Campaign 84,Other,Planned
Campaign 85,Other,In Progress
Campaign 86,Other,Aborted
Campaign 87,Email,Aborted
Campaign 88,Telemarketing,Aborted
Campaign 89,Other,Aborted
Campaign 90,Other,Completed
Campaign 91,Other,Planned
Campaign 92,Telemarketing,Completed
Campaign 93,Other,In Progress
Campaign 94,Other,Completed
Campaign 95,Telemarketing,Completed
Campaign 96,Other,Planned
Campaign 97,Other,Aborted
Campaign 98,Email,Completed
Campaign 99,Direct Mail,In Progress
Campaign 100,Other,In Progress
