Subject,Priority,Status
Contract renewal,Medium,New
Late delivery — SLA breach,Low,New
Delivery not received,Low,Closed
Delivery not received,Medium,New
System error on portal,High,Escalated
System error on portal,Medium,Closed
Missing items from order,Medium,New
Portal login problem,Medium,Closed
Overcharge on invoice,Medium,New
Wrong items delivered,Medium,Escalated
Late delivery — SLA breach,Medium,New
Contract renewal,Medium,New
Contract renewal,Medium,New
Late delivery — SLA breach,Medium,Working
Escalation — repeated issue,Medium,New
Account access issue,Low,New
Rate card query,Medium,New
Complaint — customer service,Medium,Closed
Wrong items delivered,Medium,New
Wrong items delivered,Low,New
Overcharge on invoice,Medium,New
System error on portal,Medium,New
Wrong items delivered,High,New
Driver issue reported,Medium,New
Rate card query,Medium,New
Missing items from order,Medium,Closed
Late delivery — SLA breach,Low,Escalated
Delivery not received,Medium,New
Damaged goods on arrival,Medium,Closed
Invoice query,High,Escalated
Return collection needed,Medium,New
Rate card query,Medium,Working
Wrong items delivered,Medium,New
Portal login problem,Medium,Escalated
Invoice query,High,New
Collection not completed,Medium,Escalated
Missing items from order,Medium,New
System error on portal,Medium,New
Account access issue,Medium,Escalated
Wrong items delivered,High,New
Tracking number not working,Medium,Escalated
Rate card query,Medium,New
Overcharge on invoice,Medium,Working
Damaged goods on arrival,Low,Escalated
Account access issue,Medium,New
Account access issue,Medium,New
Driver issue reported,Medium,New
Cancel order request,Medium,New
Contract renewal,Low,New
Driver issue reported,Medium,Closed
Tracking number not working,Medium,New
Overcharge on invoice,Medium,Working
Return collection needed,Medium,Escalated
Delivery not received,Medium,New
Wrong items delivered,Medium,New
Case 56,Medium,New
Escalation — repeated issue,Medium,Working
Escalation — repeated issue,Medium,New
Missing items from order,Medium,New
Change of delivery address,High,New
Rate card query,Low,New
Collection not completed,Medium,New
Late delivery — SLA breach,Medium,Working
Account access issue,High,New
Damaged goods on arrival,High,New
Tracking number not working,Medium,Working
Escalation — repeated issue,Medium,New
Portal login problem,High,New
Complaint — customer service,Medium,New
Invoice query,Low,New
Late delivery — SLA breach,Medium,New
Collection not completed,Medium,New
Complaint — customer service,Medium,New
Cancel order request,Medium,New
Damaged goods on arrival,Medium,New
Damaged goods on arrival,Medium,New
Missing items from order,Medium,Escalated
Late delivery — SLA breach,Medium,Closed
Escalation — repeated issue,Medium,New
Complaint — customer service,Medium,New
Collection not completed,Medium,Closed
Account access issue,Medium,Working
Driver issue reported,Medium,New
Damaged goods on arrival,Low,New
Late delivery — SLA breach,Medium,Closed
System error on portal,Medium,Closed
Invoice query,Medium,Escalated
Return collection needed,Low,New
Collection not completed,Medium,New
Escalation — repeated issue,High,Closed
